,index,dim_date_id,dim_shop_id,dim_goods_id,week,t_qty_pre,t_qty_pre_s,t_qty_pre_sea,t_qty_low,t_qty_high,qtl_low,qtl_high,cv1,cv2,lr_b,lr_r,lr_b6,lr_r6,t_amount_df1,t_qty_df1,t_amount_df2,t_qty_df2,t_amount_df3,t_qty_df3,t_amount_df4,t_qty_df4,t_amount_df5,t_qty_df5,t_amount_df6,t_qty_df6,t_amount_df7,t_qty_df7,qty_m_p1,amount_m_p1,qty_m_p2,amount_m_p2,qty_m_p3,amount_m_p3,amount_avg3,qty_avg3,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10,price_avg3,price_m_p1,price_m_p2,price_m_p3,member_id_sum_df1,member_rate_df1,datetype_df1,is_proflag_df1,is_discount_df1,uv_goods_df1,uv_rate_df1,t_qty,member_id_sum,member_rate,datetype,is_proflag,is_discount,uv_goods,uv_rate,price_df1,dim_shop_id_label,week_2,week_3,week_4,week_5,week_6,week_7,shop_goods
11,11,2018-09-02,9L07,905936,7,31.49070938814518,8.726194847236684,5.620408163265307,17.124817208092914,45.85660156819745,9.0,38.999999999999936,-0.4139193469785575,1.0555555555555556,0.3882352941176468,0.11199999999999999,4.600000000000009,0.257,574.1999999999998,58.0,109.00000000000004,10.0,348.8,32.0,392.4,36.0,218.00000000000009,20.0,207.10000000000008,19.0,348.7999999999999,32.0,27.357142857142858,288.59285714285716,20.928571428571427,224.02428571428575,25.0,263.6413333333333,343.99999999999994,33.333333333333336,1.8125,2.1201044386422976,1.7399999999999998,0.9840846683795369,1.1510964267207116,0.9447212816443553,1.0,1.2184508268059182,1.3071672354948807,0.8371428571428571,10.319999999999997,10.549086161879895,10.704232081911265,10.545653333333332,50.0,0.020177562550443902,1.0,1.0,0.0,524.0,0.11068702290076336,46.0,46.0,0.020219780219780218,1,1,0,578.0,0.0847750865051903,9.899999999999997,12,0,0,0,0,0,1,9L07-905936
789,789,2018-09-03,9L07,905936,1,24.582366741871056,29.42857142857143,-4.014285714285714,10.116786284766995,39.047947198975116,9.0,48.09999999999998,-0.28119664582913223,1.206896551724138,0.5392156862745096,0.19,5.400000000000008,0.32299999999999995,485.0999999999999,49.0,574.1999999999998,58.0,109.00000000000004,10.0,348.8,32.0,392.4,36.0,218.00000000000009,20.0,207.10000000000008,19.0,29.285714285714285,304.7,20.214285714285715,219.93857142857146,24.9,262.65133333333335,389.4333333333332,39.0,4.9,1.6731707317073172,1.2564102564102564,2.4582366741871056,0.8393978887468165,0.6303170959454116,0.5263157894736842,1.3317073170731708,1.448763250883392,0.8118187033849685,9.985470085470082,10.404390243902439,10.88035335689046,10.548246318607767,46.0,0.020219780219780218,1.0,1.0,0.0,578.0,0.0847750865051903,21.0,21.0,0.01233118027011157,0,1,0,274.0,0.08029197080291971,9.899999999999999,12,0,0,0,0,0,0,9L07-905936
1054,1054,2018-09-04,9L07,905936,2,26.444824356565586,30.0,-2.8377551020408167,12.010235997565081,40.87941271556609,9.7,48.09999999999998,-0.1977738030077932,1.206896551724138,0.444817927170868,0.13699999999999998,0.8285714285714327,0.008,217.80000000000007,22.0,485.0999999999999,49.0,574.1999999999998,58.0,109.00000000000004,10.0,348.8,32.0,392.4,36.0,218.00000000000009,20.0,30.142857142857142,311.8285714285715,18.857142857142858,207.86000000000007,24.633333333333333,260.01133333333337,425.7,43.0,0.3793103448275862,0.7298578199052133,0.5116279069767442,0.4559452475269929,0.8773164478481474,0.6149959152689671,2.9,1.4265402843601895,1.5984848484848484,0.7655132418325924,9.9,10.345023696682466,11.022878787878792,10.555263870094723,21.0,0.01233118027011157,0.0,1.0,0.0,274.0,0.08029197080291971,22.0,22.0,0.01055662188099808,0,1,0,0.0,0.0,9.900000000000004,12,1,0,0,0,0,0,9L07-905936
1191,1191,2018-09-05,9L07,905936,3,36.4364402797019,38.25000369389802,6.59591836734694,21.902083454604714,50.97079710479908,9.7,48.09999999999998,-0.41065259088658107,1.293103448275862,0.45126050420168046,0.141,-0.37142857142857544,0.001,237.60000000000008,24.0,217.80000000000007,22.0,485.0999999999999,49.0,574.1999999999998,58.0,109.00000000000004,10.0,348.8,32.0,392.4,36.0,30.857142857142858,317.4142857142857,18.857142857142858,209.34571428571434,24.2,256.3213333333334,313.5,31.666666666666668,0.4897959183673469,0.7777777777777778,0.7578947368421053,0.7436008220347327,1.180810564619969,1.150624429885323,1.3611111111111112,1.0262345679012346,1.6363636363636362,0.7792207792207793,9.9,10.286574074074073,11.101666666666668,10.59179063360882,22.0,0.01055662188099808,0.0,1.0,0.0,0.0,0.0,14.0,14.0,0.007238883143743538,0,1,0,0.0,0.0,9.900000000000004,12,0,1,0,0,0,0,9L07-905936
1328,1328,2018-09-06,9L07,905936,4,21.863066982677093,27.71428571428571,-5.28469387755102,6.361764250871289,37.3643697144829,10.0,48.09999999999998,-0.4708377760717663,1.293103448275862,0.3492997198879552,0.086,-2.828571428571462,0.076,176.40000000000003,16.0,237.60000000000008,24.0,217.80000000000007,22.0,485.0999999999999,49.0,574.1999999999998,58.0,109.00000000000004,10.0,348.8,32.0,28.0,294.4142857142857,21.571428571428573,232.21714285714293,24.166666666666668,256.85800000000006,210.60000000000005,20.666666666666668,0.7272727272727273,0.5714285714285714,0.7741935483870968,0.9937757719398679,0.7808238208098962,1.0578903378714721,0.6875,0.7380952380952381,1.2980132450331126,0.8926108374384236,10.190322580645164,10.514795918367346,10.765033112582785,10.628606896551727,14.0,0.007238883143743538,0.0,1.0,0.0,0.0,0.0,11.0,11.0,0.006067291781577496,0,1,0,0.0,0.0,11.025000000000002,12,0,0,1,0,0,0,9L07-905936
1483,1483,2018-09-07,9L07,905936,5,20.288193312573,25.285714285714285,-4.6071428571428585,4.788996613983752,35.787390011162245,10.0,48.09999999999998,-0.5333377760717662,1.293103448275862,0.23669467787114834,0.04,-9.200000000000019,0.857,154.70000000000005,13.0,176.40000000000003,16.0,237.60000000000008,24.0,217.80000000000007,22.0,485.0999999999999,49.0,574.1999999999998,58.0,109.00000000000004,10.0,28.142857142857142,296.90000000000003,21.142857142857142,227.54571428571435,24.266666666666666,259.248,189.56666666666672,17.666666666666668,0.5416666666666666,0.4619289340101523,0.7358490566037735,0.845341388023875,0.7209002699899035,1.148388300711679,2.4,0.6277495769881557,1.3310810810810811,0.8712715855572999,10.730188679245286,10.549746192893402,10.7622972972973,10.683296703296703,11.0,0.006067291781577496,0.0,1.0,0.0,0.0,0.0,19.0,19.0,0.008962264150943396,0,1,0,446.0,0.04708520179372197,11.900000000000004,12,0,0,0,1,0,0,9L07-905936
1636,1636,2018-09-08,9L07,905936,6,34.17444024017962,21.892856218960425,8.086734693877553,18.65557700348517,49.69330347687408,10.0,48.09999999999998,-0.205132647866638,1.293103448275862,0.1770308123249299,0.023,-5.0,0.532,249.90000000000006,21.0,154.70000000000005,13.0,176.40000000000003,16.0,237.60000000000008,24.0,217.80000000000007,22.0,485.0999999999999,49.0,574.1999999999998,58.0,27.357142857142858,289.8357142857143,22.142857142857142,238.44571428571433,24.5,262.5913333333334,193.66666666666674,16.666666666666668,1.3125,0.7676240208877284,1.26,2.1359025150112263,1.249196248988289,2.050466414410777,0.27586206896551724,0.6092254134029591,1.235483870967742,0.9037900874635568,11.620000000000005,10.594516971279374,10.76851612903226,10.71801360544218,19.0,0.008962264150943396,0.0,1.0,0.0,446.0,0.04708520179372197,22.0,22.0,0.008990600735594606,1,1,0,374.0,0.06417112299465241,11.900000000000002,12,0,0,0,0,1,0,9L07-905936
1792,1792,2018-09-09,9L07,905936,7,30.780992168979576,18.0,8.675510204081629,15.192402635308971,46.36958170265019,10.0,48.09999999999998,-0.2795716188573332,0.7142857142857143,0.18039215686274496,0.024,-0.05714285714285605,0.001,285.6,24.0,249.90000000000006,21.0,154.70000000000005,13.0,176.40000000000003,16.0,237.60000000000008,24.0,217.80000000000007,22.0,485.0999999999999,49.0,26.857142857142858,286.1,22.785714285714285,245.4528571428572,24.4,262.0013333333334,230.06666666666672,19.333333333333332,1.8461538461538463,0.8936170212765957,1.2413793103448276,2.367768628383044,1.1461007722492396,1.592120284602392,0.2653061224489796,0.7198581560283688,1.1786833855799375,0.9338407494145199,11.900000000000004,10.652659574468085,10.772225705329156,10.737759562841532,22.0,0.008990600735594606,1.0,1.0,0.0,374.0,0.06417112299465241,13.0,13.0,0.006413418845584608,1,1,0,392.0,0.03826530612244898,11.9,12,0,0,0,0,0,1,9L07-905936
1944,1944,2018-09-10,9L07,905936,1,12.253625641854924,17.428571428571427,-5.7693877551020405,0.0,27.87145426325737,10.0,48.09999999999998,-0.2281260406260407,1.4583333333333333,0.1764705882352941,0.022000000000000002,-0.3714285714285692,0.021,178.50000000000003,15.0,285.6,24.0,249.90000000000006,21.0,154.70000000000005,13.0,176.40000000000003,16.0,237.60000000000008,24.0,217.80000000000007,22.0,25.642857142857142,273.9357142857143,22.714285714285715,244.67428571428576,23.933333333333334,257.1813333333333,238.00000000000003,20.0,0.7142857142857143,0.584958217270195,0.75,0.5835059829454726,0.47785726737038703,0.6126812820927462,0.9545454545454546,0.7799442896935933,1.1289308176100628,0.9490648627138878,11.900000000000002,10.68272980501393,10.771823899371071,10.745738161559888,13.0,0.006413418845584608,1.0,1.0,0.0,392.0,0.03826530612244898,7.0,7.0,0.005490196078431373,0,1,0,197.0,0.04060913705583756,11.900000000000002,12,0,0,0,0,0,0,9L07-905936
2093,2093,2018-09-11,9L07,905936,2,14.539606574370534,11.215317608494571,-1.5877551020408158,0.0,30.23164375712253,9.7,48.09999999999998,-0.12358058608058607,0.7083333333333334,0.12885154061624646,0.011000000000000001,-0.8857142857142909,0.084,95.20000000000002,8.0,178.50000000000003,15.0,285.6,24.0,249.90000000000006,21.0,154.70000000000005,13.0,176.40000000000003,16.0,237.60000000000008,24.0,24.857142857142858,265.9428571428571,22.571428571428573,243.11714285714288,23.6,250.51066666666668,186.43333333333337,15.666666666666666,0.3333333333333333,0.3218390804597701,0.5106382978723405,0.6058169405987722,0.5849267012677801,0.9280599941087575,1.0,0.6302681992337165,1.10126582278481,0.9564164648910412,11.900000000000002,10.698850574712642,10.771012658227848,10.614858757062146,7.0,0.005490196078431373,0.0,1.0,0.0,197.0,0.04060913705583756,19.0,17.0,0.012168933428775949,0,1,1,170.0,0.1352941176470588,11.900000000000002,12,1,0,0,0,0,0,9L07-905936
